ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
1,1,2000-07-29,16h00,Sábado,Fluminense,Bahia,Fluminense,Maracanã,2,0,RJ,BA,RJ,tarde
2,1,2000-07-29,16h00,Sábado,Vasco,Sport,Sport,São Januário,0,2,RJ,PE,PE,tarde
3,1,2000-07-29,16h00,Sábado,Vitória,Palmeiras,Vitória,Barradão,4,1,ES,SP,ES,tarde
4,1,2000-07-30,17h00,Domingo,Botafogo-rj,Atlético-mg,-,Caio Martins,0,0,RJ,MG,-,tarde
5,1,2000-07-30,18h30,Domingo,Juventude,Flamengo,-,Alfredo Jaconi,1,1,RS,RJ,-,tarde
6,1,2000-07-30,16h00,Domingo,Guarani,Santa cruz,-,Brinco de Ouro,0,0,SP,PE,-,tarde
7,1,2000-07-30,17h00,Domingo,Cruzeiro,Athlético-pr,Athlético-pr,Mineirão,0,2,MG,PR,PR,tarde
8,1,2000-07-30,16h00,Domingo,América-mg,Gama,Gama,Independência,0,1,MG,DF,DF,tarde
9,1,2000-07-30,18h30,Domingo,Goiás,Corinthians,Goiás,Serra Dourada,3,0,GO,SP,GO,tarde
10,2,2000-08-02,20h30,Quarta-feira,Coritiba,Sport,-,Couto Pereira,0,0,PR,PE,-,noite
11,2,2000-08-02,20h30,Quarta-feira,Bahia,Athlético-pr,Bahia,Fonte Nova,2,1,BA,PR,BA,noite
12,2,2000-08-02,21h40,Quarta-feira,Flamengo,Grêmio,Flamengo,Maracanã,3,0,RJ,RS,RJ,noite
13,2,2000-08-02,20h30,Quarta-feira,Gama,Fluminense,Gama,Mané Garrincha,2,1,DF,RJ,DF,noite
14,2,2000-08-02,20h30,Quarta-feira,Internacional,Goiás,Goiás,Beira Rio,0,1,RS,GO,GO,noite
15,2,2000-08-02,20h30,Quarta-feira,Ponte preta,América-mg,Ponte preta,Moisés Lucarelli,3,1,SP,MG,SP,noite
16,2,2000-08-02,20h30,Quarta-feira,Santos,Vitória,Santos,Vila Belmiro,2,0,SP,ES,SP,noite
17,2,2000-08-03,20h30,Quinta-feira,Palmeiras,Botafogo-rj,-,Pq. Antarctica,0,0,SP,RJ,-,noite
18,3,2000-08-05,16h00,Sábado,Athlético-pr,Flamengo,-,Joaquim Américo,1,1,PR,RJ,-,tarde
19,3,2000-08-05,18h00,Sábado,Corinthians,Gama,Corinthians,Canindé,4,2,SP,DF,SP,tarde
20,3,2000-08-05,16h00,Sábado,Fluminense,Santos,Fluminense,Maracanã,2,1,RJ,SP,RJ,tarde
21,3,2000-08-06,16h00,Domingo,Atlético-mg,Bahia,-,Mineirão,0,0,MG,BA,-,tarde
22,3,2000-08-06,17h00,Domingo,Vasco,Cruzeiro,-,São Januário,3,3,RJ,MG,-,tarde
23,3,2000-08-06,16h00,Domingo,Juventude,Ponte preta,-,Alfredo Jaconi,1,1,RS,SP,-,tarde
24,3,2000-08-06,18h30,Domingo,Coritiba,Botafogo-rj,Botafogo-rj,Couto Pereira,0,2,PR,RJ,RJ,tarde
25,3,2000-08-06,16h00,Domingo,Portuguesa,Goiás,Goiás,Canindé,0,2,SP,GO,GO,tarde
26,3,2000-08-06,18h30,Domingo,Grêmio,Palmeiras,Palmeiras,Olímpico Monumental,0,1,RS,SP,SP,tarde
