cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
29b790951ab6ca9556a0626a16d13b2c67cd8fa320d1116397cd591702147a96,48.939,C/ Fornecedor,Matéria Prima
d62218cda0a119f9615cd3bc38984b960c656b7c16e5c76faac32056d10161eb,23.0,C/ Cliente,
ecd8b50bcb8ce1249a0a2905a42befd01e273643de2850a166b1636b8a17f791,181.0,Utilização Livre,Produto em Elaboração
3054a2727c5cee31a5b61cdc7a9f137a7ff8852b056ea600d4e55986be8f6223,10.0,Utilização Livre,Produto em Elaboração
6b058d9196e8aa1c7beb65ddef682bca0306ed8ed9de0dcddbbbf64a53611a8f,159.0,Utilização Livre,Matéria Prima
be31bd97584fbd83b4aea05c5fed216048c12a704193a21e8e47b427f6e3cd4b,6.0,Utilização Livre,Matéria Prima
7e9a83418f25aecfae065792e9b4d5497f7a79dc4d259db9b8f92fcea8cb7802,20.0,Utilização Livre,Matéria Prima
2fb74fa97da38658b8102722cd5dd51b80025155f332eca57e7659a43685a866,116.0,C/ Fornecedor,Matéria Prima
c5fc88a63229768bebef118a049e262ce88f796d59e5b4126cfcafb62a1e2faa,19.0,Utilização Livre,Produto em Elaboração
d914b1a7e0bcc48cf6efccd96443b62cd9c4ddf1d3442b6ad1500e748120dd1b,4.0,Utilização Livre,Produto em Elaboração
dc8e5a8cf7b8d8e89b79c4f8472cbbeb2fd09f2ae9e346eb52994b91f46d99f8,3.0,Utilização Livre,Matéria Prima
18414532577b92c886a483f9a8bfcc5c937f62490a3763b3bf7603ccb83eb56d,1.0,Utilização Livre,Matéria Prima
b0d5005bc2268ff6f97ce4bce806ad72f10ad1501fb8ad1845d72a80fc67b507,333.0,Utilização Livre,Matéria Prima
3334e333d51f77ace37de3193a534f9952435385c5a7a556d63761609beeeb76,15.0,Bloqueado,Matéria Prima
0e9d3bb3c51773184be6548ae127cfdc5f1fdad9f01e2ef495bc5651f08dd11b,14.0,Utilização Livre,Matéria Prima
a6887b675367e251c56809fef129dcc3cfc53992e7c031e0e177798eecf12773,25.0,Utilização Livre,Matéria Prima
0456c8870f34fc6f832c4a2e68e51771375996c7e7f5127b27b6fedbbc7b05fa,162.0,Utilização Livre,Produto em Elaboração
5418f101cbcd3b650a509321d2dd2f10b392a205c5f642c2c0089afd529b9422,4.0,Utilização Livre,Matéria Prima
00dc60287a210142a8f9cacc2ef018c5c4e6ae2fba20fdb1c628e0705b784bfc,22.0,Utilização Livre,Produto em Elaboração
3ba6b53bd962c14e3cfadd1b13019e4cc46a625d2f009447880afda5acd251c2,194.0,Utilização Livre,Produto Pronto
bef75255e1a62738ed892bef147297efed62f5312d005d62be92943d1f45d6a1,486.0,Utilização Livre,Matéria Prima
d7bb7d898981c774f3b89c66161bef857ffec8303c2ddcb13a68ffa67f0ce843,11.0,Utilização Livre,Matéria Prima
8b50054d15b73b72666792496e81ecbd2f9cc5b83ba52509c9ef2066584984b9,1.0,Utilização Livre,Matéria Prima
58737d72860ae8c7005cb307837080586064d03757548c27a0a3c172c5d6fe6e,4.0,Utilização Livre,Matéria Prima
fb27831be0bc01d0ec42385d618f2610b1b17a9a14a4ea83553fdb915d991469,12.0,Utilização Livre,Matéria Prima
15309f112d20fcbc9c1652e34c2962e872620009d937171a0f32fb7f782560b2,17.0,Utilização Livre,Produto em Elaboração
8b62b691f9d79471659369d0aca628363e0633530f10875374f1b99ded3a2046,173.0,Utilização Livre,Produto em Elaboração
ade529194f84a0b936e434d1de00be4ae9bce5898a370d53fbd4d12619e2ee1f,4.0,Utilização Livre,Produto em Elaboração
e41d73885eb5d59b582eb6ab215154589cbb7d35a1eaff37b1affe88398b3342,293.0,Utilização Livre,Produto em Elaboração
9636e686428da1631b65f24026a0702ac355d86f16dc4f378fe64e688e30a293,15.0,Utilização Livre,Matéria Prima
47fbc67bafa4225978b1ab036c3992a94dd4d313c1b84b51feb05e86a79c1bb9,1275.0,Utilização Livre,Matéria Prima
42a35dbc8581a22472437e77fa6d6a2ae7e023f9c14afc6470ae15cf8f025e6c,2.0,Utilização Livre,Matéria Prima
eb731b6753552ae5b486c39a4df17f5808930ce5926669e8241c322f9ac0f165,231.0,Utilização Livre,Produto em Elaboração
069b3b4ee5170a062dae06c049e08beed2568cd834caa9c3cd5038b2ba1ad47c,22.0,Utilização Livre,Matéria Prima
24815fa8126906f6aac6a0272a9b88ab65137aa512dcfab7bf682bbbcdab0a08,1.0,Utilização Livre,Matéria Prima
c881333f72b77ea27b90a6cd316d657108b5eae0e641560f115d8dbd8f3f1dc8,20.0,Utilização Livre,Produto em Elaboração
55b398aaeeb71070be7dce7d7173c71733b98f992633196e5f25e27f3d5d11f6,44.32,Utilização Livre,Matéria Prima
3621f6f7abefe86a603bb3ba7fff3347e4ff01b904b23f707a9e1f627f612e2c,1842.86,Utilização Livre,Sucata
a13bfb9ff2bddb3240b7c7edcde8838aa24968aa513f1e6f9d4833c00633a547,74.226,Utilização Livre,Matéria Prima
c5d3f9a91d58a6c98b781ada1c3a52046a57cb30ff3895a8f611b9b7d7a2ddf1,500.065,C/ Fornecedor,Matéria Prima
c3f7efc7b0d016be118f974b613459d860ecd780a8c0c44e16b300e155c4c3f8,34370.0,Utilização Livre,Matéria Prima
84d64229ddb31316b3c4cd538d7e131f8abd46bbe5883653b83b81bb3c3494eb,350.0,Utilização Livre,Matéria Prima
cbc38d5c99b0987cdb6700366150ed3ade4d80dbcbc94cae084937367059b218,3908.16,Utilização Livre,Protótipo
01399968d0b26e18ab3e0187c5d9400415940be8b5c9da2e7565a3df7c6af081,24.0,Utilização Livre,Matéria Prima
adf2c86f8ce604a89f32f0a1ec0cd5d28fbd29d49fa7eb6e5b27fa1531e0c6aa,1.0,Utilização Livre,Matéria Prima
2d82595d297f98f7850df68a9748b243254dc2851aad82ff0d69ecc8f46d830b,4.0,Utilização Livre,Produto em Elaboração
c9ca8ebc0f1fce84d3ae5136e6326269098fa97a2a47b0c9e7d81c5634a22f6e,1.0,Utilização Livre,Matéria Prima
6d261624dc50fc5fcf4a83642addca42539c98c356593ed879a3765f749536a8,5.0,Utilização Livre,Matéria Prima
648c8fa3f80723743d1abbba79b2cc14059f09ace83e6aa69795937beee81e7d,1.0,C/ Cliente,
1e8da1aa278388356f6e9b9dd295450cce8417cb669e024bb9ff0a82e785b277,2.0,Utilização Livre,Produto em Elaboração
f5e85f19194e086479646dd638869fc550c40dbd6b07b9314cca71e98112e42d,40.0,Utilização Livre,Matéria Prima
4e4168bd2c24aeac4e6b83e70d33bd6297e9ef1ced82e34382fce7db8c7b118d,10.0,Utilização Livre,Matéria Prima
9a394a9e7d2b9d2377a1caefbe73c127bf2c5e8ae2e14b63a07376b51be892c2,3.0,Utilização Livre,Matéria Prima
b8befb8295c0d00db7f568cb6ce6444d8c0721c1212d6de3c2c17c3ae354aa42,1.0,Utilização Livre,Matéria Prima
922f4bdc18ead0c14b505cbe3fc34386ab5b15fea7b6197ab83a31629d7bc5aa,53.0,Utilização Livre,Matéria Prima
8d8f7c2cc83dce1ad10f4b7b0b8bdb5ceba629b1bc43e7fca45ca064d6cb766e,19.0,Utilização Livre,Matéria Prima
a18ac54c80537d4dfa00c6a2d747285ee150f748d3e1427153e023a37487355b,16.0,Utilização Livre,Matéria Prima
a0efd81e539abc9993c80049e90771385829269e2836419d8e1a2ac1732f69c2,16.0,Utilização Livre,Matéria Prima
bab9c51d83dcf6238ad74adfbcd81b5642e92021de08f1f6c3dc71f972e32479,610.0,Utilização Livre,Matéria Prima
c7f9261501842a1bb1b8367c4099a233fb6884aeee0ece3674e741c0f5efdeab,143.0,Utilização Livre,Matéria Prima
cb90704c40d03b4e50ecf1f8738b2fa73b69347e7791c468772058309d9ac85d,64.0,Utilização Livre,Matéria Prima
da5e140f35af27ee403dfc30dd7bf8caf055873923b4cacc5e1632960be945a0,4931.0,Utilização Livre,Matéria Prima
d03edc0269a8a5b9ae85d7f70e130b42197f9c7b22de4918098c6429a9472ba1,252.0,Utilização Livre,Matéria Prima
79e73295f8d6b8b6e7fc62f4fab3c3f7a2e1506a231af2fc401d520f79570462,4.0,Utilização Livre,Produto em Elaboração
1cc54bcea7432141ffd59ab665205c6dcb05d51d1117248ec8dcda290f578ffc,4.0,Utilização Livre,Produto em Elaboração
8ef0b415bbdfc57f81b38e39052ecb03b5e14d60c4a16110a28bb0d36eae593e,5.0,Utilização Livre,Matéria Prima
18ef29c7ee383b47d5b9975ec02ddaa69a5abd43ec22ce64da23f1b5c9e80771,1.0,Utilização Livre,Matéria Prima
2f753539a73de80ab66af24dc59f6a2ec8922ad551d77a59c6983972d41c2ae3,3.0,Utilização Livre,Matéria Prima
f2b71a46b842f9cac041aedb464c8628116b53182707b142db0a8150ecf497c7,48636.0,Utilização Livre,Matéria Prima
fa6781df5d9461b9b0ba2e7d0a973743e480a5efb2de4f1102f767b2e03d205d,68.0,Bloqueado,Matéria Prima
b8841b3d759d188d9e86932a98f83ef55d894c20e12fce9d323c300c3f26a157,6.0,Utilização Livre,Matéria Prima
f5e7f16db8f25b26c915a2dee8c2c347f05c1d0ef5582654461780588a10b049,2.0,Utilização Livre,Matéria Prima
eb1d3cd0c59c005ac5f19b47c777e870c4d2e664b4cef5e4e83e750124d11773,10.0,Utilização Livre,Produto em Elaboração
d9435e182406943f4107636573a98bdc7d8855ec254cc6f0224269dde52513b8,8.0,C/ Cliente,
